cast,crew,date,link,playwright,playwright_formatted,playwright_formatted_long,poster_thumb_tag,run,season,title,type,venue,year_title
Melinda Beaumont/Lydia Fitzsimons/Rachel Waters/Polly Hedley/Aila Khan/Matteo Bagaini/Amy Crighton/Sarah Haywood/Sam Morris/Daniel McVey/David Mason/Isaac Sneade/Al Kamyani/Katie Webster/Olivia Cunningham/Chloe Schlitter/Laura Wolczyk/Daniel Morris/Frank Micklethwaite/Jack Ellis/Hugo Minta/Emma Donaldson/Chris Odulele/Nat Henderson/Katie Baxter/Jonny Khan/Alex Holder/Eleanor Edwardes/Ollie Topp/Oliver Kueck/Emily Wong/Lorcan Campbell/Isabelle Cadwallader/Grace Williams/Bryony Taylor/Eric Crouch/Shamini Vasu/Lois Baglin/Kate O'Gorman/Emma  McDonald/Eugene Ong/Rachel Cunliffe/Eleanor Gray/Ruby Tyler/Leah Briars/Izzie Rockingham/Perdita Vaughan Williams/Freya Whiteside/James Wasp/Kilian Bachmair/Helen Brown/Lisa Gier/,Duncan McGillivray/Joe Hincks/Maggie Dorling/Emma Summerton/Louis Djalili/Harry Pavlou/Charlotte Sanders/Gigi George/Rachael Baines/Ronan Lee/Charlie Jamieson/Jess Donn/Ed Eggleton/Callum Walker/George Waring/Miguel Barrulas/Andrew Houghton/Beth Mullen/Emma Fearon/Molly Fenton/Ella Hiscocks/Michaela Green/Will Berrington/Chris Sharp-Paul/Maddy Strauss/Beth Wilson/Laurence Cuthbert/Josh Mallalieu/Joanne Blunt/Yee Heng Yeh/Becca Potts/Amy O'Dell/Joseph Heil/,2016-10-10,/years/16_17/freshers_fringe/,null,Various Writers,Various Writers,<a href='/years/16_17/freshers_fringe/'><img src='https://photos.smugmug.com/photos/i-N6kvMG6/0/ad878afb/128x162/i-N6kvMG6-128x162.jpg' class='search-result-poster-thumb' alt='Freshers' Fringe poster' /></a>,10-11 October 2016,In House,Freshers' Fringe,show,New Theatre,2016-17
NA,Joseph Heil/,2017-05-24,/years/16_17/how_to_disappear/,Finn Kennedy,by Finn Kennedy,by Finn Kennedy,<a href='/years/16_17/how_to_disappear/'><img src='https://photos.smugmug.com/photos/i-R9N3rWk/0/343207fd/128x162/i-R9N3rWk-128x162.jpg' class='search-result-poster-thumb' alt='How to Disappear Completely and Never Be Found poster' /></a>,24-27 May 2017,Postgrads,How to Disappear Completely and Never Be Found,show,New Theatre,2016-17
NA,Sam Osborne/,2017-06-20,/years/16_17/improvabunga/,null,Playwright Unknown,Playwright Unknown,<a href='/years/16_17/improvabunga/'><img src='https://photos.smugmug.com/photos/i-xsd3Zvf/0/a252c41e/128x162/i-xsd3Zvf-128x162.jpg' class='search-result-poster-thumb' alt='Improvabunga! poster' /></a>,20 June 2017,STUFF,Improvabunga!,show,New Theatre Studio A,2016-17
Felicity Chilver/Daniella Finch/,Emma White/Emily Sterling/Emily Wong/Ben Woodford/Joanne Blunt/Max Miller/,2017-03-13,/years/16_17/infectious/,Emma White,by Emma White,by Emma White,<a href='/years/16_17/infectious/'><img src='https://photos.smugmug.com/photos/i-VbHvDph/0/d0c4a6c9/128x162/i-VbHvDph-128x162.jpg' class='search-result-poster-thumb' alt='Infectious poster' /></a>,13-14 March 2017,Fringe,Infectious,show,New Theatre Studio A,2016-17
NA,Joseph Heil/,2017-01-25,/years/16_17/love_and_information/,Caryl Churchill,by Caryl Churchill,by Caryl Churchill,<a href='/years/16_17/love_and_information/'><img src='https://photos.smugmug.com/photos/i-xNDbFXt/0/7b176c3a/128x162/i-xNDbFXt-128x162.jpg' class='search-result-poster-thumb' alt='Love + Information poster' /></a>,25-28 January 2017,Postgrads,Love + Information,show,New Theatre,2016-17
Maddy Strauss/James Curling/Jonny Khan/Nat Henderson/Emma Summerton/Charlie Jamieson/Boo Jackson/Arthur Mckechnie/,Joe Strickland/James Collyer/Jess Donn/Ronan Lee/Sam Layton/Tom Proffitt/Nathan Penney/Adam Frankland/Joe Strickland/Sam Morris/Rohanna Brown/Adam Humphries/Karl Nycklemoe/Amy O'Dell/Tom Proffitt/Ed Eggleton/Maggie Dorling/Laura Wolczyk/Amy Greaves/Ranait Flanagan/,2016-11-23,/years/16_17/mercury_fur/,Philip Ridley,by Philip Ridley,by Philip Ridley,<a href='/years/16_17/mercury_fur/'><img src='https://photos.smugmug.com/photos/i-mdhmfbG/0/cc282a39/128x162/i-mdhmfbG-128x162.jpg' class='search-result-poster-thumb' alt='Mercury Fur poster' /></a>,23-26 November 2016,In House,Mercury Fur,show,New Theatre,2016-17
Jack Ellis/Laura Wolczyk/Maddy Strauss/David Mason/,Tom Heath/Zoe Smith/Tenielle Chua/Darcey Graham/Joe Strickland/Joe Strickland/Emma Summerton/,2017-03-27,/years/16_17/monarch/,Tom Heath,by Tom Heath,by Tom Heath,<a href='/years/16_17/monarch/'><img src='https://photos.smugmug.com/photos/i-58FMrT8/0/37eb4a7b/128x162/i-58FMrT8-128x162.jpg' class='search-result-poster-thumb' alt='Monarch poster' /></a>,27-28 March 2017,Fringe,Monarch,show,New Theatre Studio A,2016-17
Jamie Drew/Leora Gerson/Molly McConnell/Meer Gala-Shah/,Jennifer Danaher/Joanne Blunt/,2017-01-29,/years/16_17/one_word_story_land/,null,Playwright Unknown,Playwright Unknown,<a href='/years/16_17/one_word_story_land/'><img src='https://photos.smugmug.com/photos/i-qM3tNmH/0/820363c5/128x162/i-qM3tNmH-128x162.jpg' class='search-result-poster-thumb' alt='One Word Story Land poster' /></a>,29 January-1 February 2017,External,One Word Story Land,show,New Theatre,2016-17
Dave Porter/Emma White/Andrew Houghton/Chloe Schlitter/Ted Marriott/Beth Mullen/Duncan McGillivray/James Curling/Callum Walker/Rose Edgeworth/Beth Summerfield/Maggie Dorling/Luke Slater/Louise Harris/,Iona Hampson/Kate Maguire/Rosa Morgan/Ross Brisk/Iona Hampson/Adam Frankland/Emma Barber/Ben Woodford/Hannah Burne/Rohanna Brown/Darcey Graham/Emma Summerton/Lara Cowler/Miguel Barrulas/Max Miller/Dave Porter/Iona Hampson/Eric Crouch/,2017-04-04,/years/16_17/our_temple/,Iona Hampson,by Iona Hampson,by Iona Hampson,<a href='/years/16_17/our_temple/'><img src='https://photos.smugmug.com/photos/i-3JJKstq/0/5957e1d1/128x162/i-3JJKstq-128x162.jpg' class='search-result-poster-thumb' alt='Our Temple poster' /></a>,4-7 April 2017,In House,Our Temple,show,New Theatre,2016-17
NA,Sam Osborne/,2017-06-20,/years/16_17/performance_art_stuff/,null,Various Writers,Various Writers,<a href='/years/16_17/performance_art_stuff/'><img src='https://photos.smugmug.com/photos/i-F5Rspjb/0/400bfe0c/128x162/i-F5Rspjb-128x162.png' class='search-result-poster-thumb' alt='A Programme of Performance Art poster' /></a>,20 June 2017,STUFF,A Programme of Performance Art,show,New Theatre Studio A,2016-17
Michaela Green/Niamh Caines/Charlotte Sanders/Kate O'Gorman/Jonny Khan/Jamie Watt/Max Miller/,Maddy Strauss/Grace Williams/Angharad Davies/Sam Osborne/Joanne Blunt/Felicity Chilver/Joanne Blunt/Beth Wilson/Nathan Penney/Ben Woodford/Adam Frankland/Rohanna Brown/Laura Wolczyk/,2017-06-14,/years/16_17/pomona/,Alistair McDowall,by Alistair McDowall,by Alistair McDowall,<a href='/years/16_17/pomona/'><img src='https://photos.smugmug.com/photos/i-cbJZppw/0/cafb42ec/128x162/i-cbJZppw-128x162.jpg' class='search-result-poster-thumb' alt='Pomona poster' /></a>,14-17 June 2017,In House,Pomona,show,New Theatre,2016-17
Rosie Hudson/Lara Bellis/Zoe Robinson/Emily Wong/Angharad Davies/Marsya Hazanan/,Jamie Drew/Emma Summerton/Nat Henderson/Joe Strickland/Emily Wong/Nat Henderson/Isabelle Cadwallader/Daniel Morris/Jess Donn/Joseph Heil/Joseph Heil/Sam Osborne/Hannah Burne/Rohanna Brown/Sam Morris/,2017-05-18,/years/16_17/potential/,null,Devised by Crew,Devised by Crew,<a href='/years/16_17/potential/'><img src='https://photos.smugmug.com/photos/i-gfMqvs9/0/e11d1495/128x162/i-gfMqvs9-128x162.jpg' class='search-result-poster-thumb' alt='Potential poster' /></a>,18-19 May 2017,External,Potential,show,New Theatre,2016-17
Izzie Masters/Rachael Baines/Louis Djalili/,Sasha Gibson/Emilie Brittain/Charlotte Kirkman/Ben Woodford/Nathan Penney/Ben Woodford/Chris Sharp-Paul/Gigi George/Rachel Connolly/Max Miller/Jamie Watt/Niamh Caines/The Cast of The Pillowman/,2017-06-06,/years/16_17/redundant_restaurant/,Sasha Gibson and Emilie Brittain,by Sasha Gibson and Emilie Brittain,by Sasha Gibson and Emilie Brittain,<a href='/years/16_17/redundant_restaurant/'><img src='https://photos.smugmug.com/photos/i-RT38FkD/0/e873e20a/128x162/i-RT38FkD-128x162.png' class='search-result-poster-thumb' alt='The Redundant Restaurant poster' /></a>,6-7 June 2017,External,The Redundant Restaurant,show,New Theatre,2016-17
Daniella Finch/Lois Baglin/Chloe Richardson/Harry Pavlou/,Felicity Chilver/Joanne Blunt/Natalia Gonzalez Morales/Hannah Burne/Rohanna Brown/Ben Lord/David Mason/Sam Morris/Joanne Blunt/Beth Wilson/Darcey Graham/Rohanna Brown/Ben Woodford/Becca Potts/Adam Frankland/Darcey Graham/Sam Osborne/Joseph Heil/,2017-03-01,/years/16_17/revolt_she_said/,Alice Birch,by Alice Birch,by Alice Birch,<a href='/years/16_17/revolt_she_said/'><img src='https://photos.smugmug.com/photos/i-ZKnbbMJ/0/a34c9ebc/128x162/i-ZKnbbMJ-128x162.jpg' class='search-result-poster-thumb' alt='Revolt. She Said. Revolt Again. poster' /></a>,1-4 March 2017,In House,Revolt. She Said. Revolt Again.,show,New Theatre,2016-17
Daniel Morris/Matteo Bagaini/Isabelle Cadwallader/,Tom Proffitt/Ed Eggleton/Nat Henderson/Harry Pavlou/Joanne Blunt/Chris Trueman/Jamie Drew/Joe Strickland/,2017-04-02,/years/16_17/ringmaster/,Tom Proffitt,by Tom Proffitt,by Tom Proffitt,<a href='/years/16_17/ringmaster/'><img src='https://photos.smugmug.com/photos/i-HQJCpk6/0/3a1259a7/128x162/i-HQJCpk6-128x162.jpg' class='search-result-poster-thumb' alt='The Ringmaster poster' /></a>,2-3 April 2017,Fringe,The Ringmaster,show,New Theatre Studio A,2016-17
Sam Morris/Joe Strickland/Boo Jackson/Arthur Mckechnie/Jess Lundholm/Andrew Houghton/,Emma Summerton/Maggie Dorling/Charlie Jamieson/Nathan Penney/Jess Donn/Jess Donn/Will Peters/Emily Dimino/Ed Eggleton/Emma Summerton/,2017-05-15,/years/16_17/rumours/,Emma Summerton,by Emma Summerton,by Emma Summerton,<a href='/years/16_17/rumours/'><img src='https://photos.smugmug.com/photos/i-HD3GwDt/0/1b89eb1e/128x162/i-HD3GwDt-128x162.jpg' class='search-result-poster-thumb' alt='Rumours poster' /></a>,15-16 May 2017,Fringe,Rumours,show,New Theatre Studio A,2016-17
NA,Ben Woodford/,2017-06-21,/years/16_17/speechless/,Charlie Davis,by Charlie Davis,by Charlie Davis,<a href='/years/16_17/speechless/'><img src='https://photos.smugmug.com/photos/i-8kKXZ7d/0/f5b10e65/128x162/i-8kKXZ7d-128x162.png' class='search-result-poster-thumb' alt='Speechless poster' /></a>,21 June 2017,STUFF,Speechless,show,New Theatre Studio A,2016-17
NA,Sam Osborne/,2017-06-21,/years/16_17/spoken_word_stuff/,null,Various Writers,Various Writers,<a href='/years/16_17/spoken_word_stuff/'><img src='https://photos.smugmug.com/photos/i-F5Rspjb/0/400bfe0c/128x162/i-F5Rspjb-128x162.png' class='search-result-poster-thumb' alt='StuFF Your Ears With Spoken Word poster' /></a>,21 June 2017,STUFF,StuFF Your Ears With Spoken Word,show,New Theatre Studio A,2016-17
Arthur Mckechnie/Nat Henderson/Lara Bellis/Joe Strickland/,Joe Strickland/James Collyer/Jess Donn/Jess Donn/,2017-06-20,/years/16_17/strangers_stuff/,null,Devised,Devised,<a href='/years/16_17/strangers_stuff/'><img src='https://photos.smugmug.com/photos/i-m7JqcnD/0/cb5f25a7/128x162/i-m7JqcnD-128x162.jpg' class='search-result-poster-thumb' alt='StrangersA Magic Play II poster' /></a>,20 June 2017,STUFF,StrangersA Magic Play II,show,New Theatre Studio A,2016-17
Louis Djalili/Michaela Green/George Waring/Charlotte Kirkman/Kate O'Gorman/Natalia Gonzalez Morales/,Jamie Watt/Maddy Strauss/Danny Wiser/Joseph Heil/Max Miller/,2016-12-04,/years/16_17/superhappy/,Ben Webber,by Ben Webber,by Ben Webber,<a href='/years/16_17/superhappy/'><img src='https://photos.smugmug.com/photos/i-jQg3TKD/0/c8e0edb7/128x162/i-jQg3TKD-128x162.jpg' class='search-result-poster-thumb' alt='The Super Awesome Happy Fun-Time Trick Performance poster' /></a>,4-5 December 2016,Fringe,The Super Awesome Happy Fun-Time Trick Performance,show,New Theatre Studio A,2016-17
Nick Gill/Sophie Walton/Harry Bradley/Harry Pavlou/Gigi George/,Laura Jayne Bateman/Gigi George/James Fox/Arthur Mckechnie/Aneesa Kaleem/,2016-10-17,/years/16_17/the_great_gatsby/,F. Scott Fitzgerald,by F. Scott Fitzgerald,by F. Scott Fitzgerald; Adapted by L. J. Bateman,<a href='/years/16_17/the_great_gatsby/'><img src='https://photos.smugmug.com/photos/i-Jx8V5Xk/0/83ae12f3/128x162/i-Jx8V5Xk-128x162.jpg' class='search-result-poster-thumb' alt='The Great Gatsby poster' /></a>,17 October 2016,Lakeside,The Great Gatsby,show,Djanogly Theatre,2016-17
Arthur Mckechnie/Chris Sharp-Paul/Isabelle Cadwallader/Neil Ganatra/,Tom Proffitt/Emily Dimino/Daniel Morris/Ed Eggleton/Rohanna Brown/Hannah Burne/Nathan Penney/Joseph Heil/Joe Strickland/Jess Donn/Marsya Hazanan/,2016-12-11,/years/16_17/the_greatest_thing/,Tom Proffitt,by Tom Proffitt,by Tom Proffitt,<a href='/years/16_17/the_greatest_thing/'><img src='https://photos.smugmug.com/photos/i-rwZGXRp/0/20dfc795/128x162/i-rwZGXRp-128x162.jpg' class='search-result-poster-thumb' alt='The Greatest Thing You've Ever Seen poster' /></a>,11-12 December 2016,Fringe,The Greatest Thing You've Ever Seen,show,New Theatre Studio A,2016-17
NA,Nathan Penney/Joseph Heil/Joanne Blunt/,2017-06-21,/years/16_17/the_iconoclasts/,Ben Price,by Ben Price,by Ben Price,<a href='/years/16_17/the_iconoclasts/'><img src='https://photos.smugmug.com/photos/i-DXr8CFH/0/ca582f42/128x162/i-DXr8CFH-128x162.png' class='search-result-poster-thumb' alt='The Iconoclasts poster' /></a>,21 June 2017,STUFF,The Iconoclasts,show,New Theatre,2016-17
Jess Lundholm/Jack Ellis/Daniel McVey/Miguel Barrulas/Emma Pallett/,Joe Strickland/Amy Naylor/Zoe Smith/Darcey Graham/Emily Dimino/Becca Potts/Joe Strickland/Nat Henderson/Emma Barber/Hannah Burne/Adam Humphries/Adam Frankland/Zoe Smith/Jess Donn/Tom Proffitt/Amy Greaves/David Mason/,2017-03-08,/years/16_17/the_nether/,Jennifer Haley,by Jennifer Haley,by Jennifer Haley,<a href='/years/16_17/the_nether/'><img src='https://photos.smugmug.com/photos/i-SJ7H7mc/0/23c37dfd/128x162/i-SJ7H7mc-128x162.jpg' class='search-result-poster-thumb' alt='The Nether poster' /></a>,8-11 March 2017,In House,The Nether,show,New Theatre,2016-17
Shannon Smith/Harry Bradley/Genevieve Cunnell/Lyle Fulton/Daniella Finch/,Gus Herbert/Rachel Angeli/Will Pimblett/Ben Hollands/Ollie Shortt/Harry Bradley/Beth Wilson/Libby Boyd/Felicity Chilver/Harry Bradley/,2017-06-02,/years/16_17/the_pillowman/,Martin McDonagh,by Martin McDonagh,by Martin McDonagh,<a href='/years/16_17/the_pillowman/'><img src='https://photos.smugmug.com/photos/i-kVg5Zvb/0/8cb01e1f/128x162/i-kVg5Zvb-128x162.jpg' class='search-result-poster-thumb' alt='The Pillowman poster' /></a>,2-3 June 2017,External,The Pillowman,show,New Theatre,2016-17
Arnaud Lacey/Chris Sharp-Paul/Ella Hiscocks/David Mason/,Laura Jayne Bateman/Aneesa Kaleem/Hugo Minta/Rohanna Brown/Amy O'Dell/Ben Woodford/Karl Nycklemoe/Emily Dimino/Perdita Vaughan Williams/Tom Proffitt/Adam Humphries/Emma Barber/Emily Dimino/Adam Frankland/Joe Strickland/Tom Proffitt/Max Miller/Aneesa Kaleem/,2016-11-16,/years/16_17/the_pride/,Alexi Kaye Campbell,by Alexi Kaye Campbell,by Alexi Kaye Campbell,<a href='/years/16_17/the_pride/'><img src='https://photos.smugmug.com/photos/i-HPdX7N9/0/a459d52a/128x162/i-HPdX7N9-128x162.jpg' class='search-result-poster-thumb' alt='The Pride poster' /></a>,16-19 November 2016,In House,The Pride,show,New Theatre,2016-17
Chris Sharp-Paul/George Waring/Claire Wimbush/Pete Przyslo/Iona Hampson/,Will Berrington/Laura Wolczyk/Becca David/Nathan Penney/Hannah Burne/Ben Woodford/Emma Barber/Ollie Shortt/David Taylor/Joseph Heil/Darcey Graham/Lucy Simmons/Adam Frankland/Joanne Blunt/Rohanna Brown/Zoe Smith/Dave Porter/Kaitlyn Samuelsen/Tom Proffitt/Maddy Strauss/Sasha Gibson/Rachael Baines/Zoe Smith/,2017-05-10,/years/16_17/trainspotting/,Irvine Welsh,by Irvine Welsh,by Irvine Welsh; Adapted by Harry Gibson,<a href='/years/16_17/trainspotting/'><img src='https://photos.smugmug.com/photos/i-9V7QLHp/0/e5eca953/128x162/i-9V7QLHp-128x162.jpg' class='search-result-poster-thumb' alt='Trainspotting poster' /></a>,10-13 May 2017,In House,Trainspotting,show,New Theatre,2016-17
Lynton Appleton/Nancy Hall/,Sam Osborne/,2017-06-21,/years/16_17/twenty_something/,Lynton Appleton and Nancy Hall,by Lynton Appleton and Nancy Hall,by Lynton Appleton and Nancy Hall,<a href='/years/16_17/twenty_something/'><img src='https://photos.smugmug.com/photos/i-SmD2mst/0/5c8d72c9/128x162/i-SmD2mst-128x162.jpg' class='search-result-poster-thumb' alt='Twenty-Something poster' /></a>,21 June 2017,STUFF,Twenty-Something,show,New Theatre Studio A,2016-17
Henry Hempstead/Chris Trueman/Ian Sheard/Beth Wilson/Angharad Davies/,Jonathan Taylor Davies/Hugo Minta/Rose Edgeworth/Joanne Blunt/Joanne Blunt/,2017-05-08,/years/16_17/uz_and_them/,Jonathan Taylor Davies,by Jonathan Taylor Davies,by Jonathan Taylor Davies,<a href='/years/16_17/uz_and_them/'><img src='https://photos.smugmug.com/photos/i-4p492b9/0/04983040/128x162/i-4p492b9-128x162.jpg' class='search-result-poster-thumb' alt='Uz & Them poster' /></a>,8-9 May 2017,Fringe,Uz & Them,show,New Theatre Studio A,2016-17
NA,Joseph Heil/,2017-06-20,/years/16_17/weird_and_eerie/,null,Various Writers,Various Writers,<a href='/years/16_17/weird_and_eerie/'><img src='https://photos.smugmug.com/photos/i-5Xqdwb9/0/46ee4d93/128x162/i-5Xqdwb9-128x162.png' class='search-result-poster-thumb' alt='The Weird and The EerieA Collections of Short Films poster' /></a>,20 June 2017,STUFF,The Weird and The EerieA Collections of Short Films,show,New Theatre,2016-17
Lois Baglin/Bertie Beeching/Gigi George/Joe Hincks/Izzie Masters/Darcey Graham/Andrew Houghton/Beth Mullen/,Will Berrington/Dave Porter/Laura Wolczyk/Becca Potts/Joseph Heil/Nathan Penney/Hannah Burne/Rohanna Brown/Adam Frankland/Matthew Lewinton/Tom Proffitt/Emma  McDonald/Chris Sharp-Paul/Miguel Barrulas/Sophie Walton/Libby Boyd/Karl Nycklemoe/Amy Crighton/Max Miller/Lisa Gier/Will Berrington/,2016-11-30,/years/16_17/wit/,Margaret Edson,by Margaret Edson,by Margaret Edson,<a href='/years/16_17/wit/'><img src='https://photos.smugmug.com/photos/i-RsK8nTw/0/4d9e42c5/128x162/i-RsK8nTw-128x162.jpg' class='search-result-poster-thumb' alt='W;t poster' /></a>,30 November-3 December 2016,In House,W;t,show,New Theatre,2016-17
Maddy Strauss/Emma White/Callum Walker/Felicity Chilver/Andrew Houghton/Miguel Barrulas/,Chris Trueman/Amy Crighton/Adam Frankland/Ian Sheard/Keir Birchall/,2017-08-04,/years/16_17/wrecked_edin/,null,Devised,Devised,<a href='/years/16_17/wrecked_edin/'><img src='https://photos.smugmug.com/photos/i-WbM3BD4/0/ce856fb5/128x162/i-WbM3BD4-128x162.png' class='search-result-poster-thumb' alt='Wrecked poster' /></a>,4-26 August 2017,Edinburgh,Wrecked,show,Royal Terrace/Greenside,2016-17
Maddy Strauss/Emma White/Callum Walker/Felicity Chilver/Andrew Houghton/Miguel Barrulas/,Chris Trueman/Amy Crighton/Adam Frankland/Sam Osborne/Ian Sheard/,2017-06-20,/years/16_17/wrecked_stuff/,null,Devised,Devised,<a href='/years/16_17/wrecked_stuff/'><img src='https://photos.smugmug.com/photos/i-t6mfPwb/0/aee2694f/128x162/i-t6mfPwb-128x162.jpg' class='search-result-poster-thumb' alt='Wrecked poster' /></a>,20 June 2017,STUFF,Wrecked,show,New Theatre,2016-17
Ian Sheard/Lara Cowler/Sam Andre-Paul/Reisha Gill/Ellen Schaffert/Molly McConnell/Josie Thomas/Mia Ottman/,Liam Webber/Sam Osborne/Ben Woodford/,2017-01-29,/years/17_18/and_another_thing/,null,Playwright Unknown,Playwright Unknown,<a href='/years/17_18/and_another_thing/'><img src='https://photos.smugmug.com/photos/i-nLSvL6n/0/b9fd8974/128x162/i-nLSvL6n-128x162.png' class='search-result-poster-thumb' alt='...And Another Thing! An Improvised Play poster' /></a>,29 January-2 February 2017,External,...And Another Thing! An Improvised Play,show,New Theatre,2017-18
Callum Walker/Margaux Valarche/Alex Piechowski/Chris Odulele/Jack Lahiff/Rose Edgeworth/Nat Henderson/Bertie Beeching/Leonora Hamilton-Shield/Amy Crighton/Reilly Salmon/Matteo Bagaini/Jack Ellis/,Will Berrington/Josie Hayden/Dave Porter/Darcey Graham/Nathan Penney/Hannah Burne/Laura Wolczyk/Jonathan Taylor Davies/Hannah McCullough/Rohanna Brown/Ben Woodford/Nathan Penney/Maddy Strauss/James Curling/Florence Bell/Becca Potts/Adam Frankland/Zoe Smith/Laura Wolczyk/Zoe Smith/Daniel McVey/Rosa Morgan/Joe Strickland/Elisa Orrichio/Maggie Dorling/Ella Quinton/,2017-11-29,/years/17_18/collaborators/,John Hodge,by John Hodge,by John Hodge,<a href='/years/17_18/collaborators/'><img src='https://photos.smugmug.com/photos/i-56TWtKJ/0/c36596f3/128x162/i-56TWtKJ-128x162.jpg' class='search-result-poster-thumb' alt='Collaborators poster' /></a>,29 November-2 December 2017,In House,Collaborators,show,New Theatre,2017-18
Francis Simmons/Charlie Basley/Beth Carter/Emily Wong/Eleanor Rickenbach/,Daniel McVey/Florence Bell/Hannah McCullough/Zoe Smith/Laura Wolczyk/Hannah Burne/Sam Osborne/Yasmine Dankwah/Rosa Morgan/Nat Henderson/Jase Neal/,2017-12-10,/years/17_18/death_of_the_author/,null,Devised,Devised,<a href='/years/17_18/death_of_the_author/'><img src='https://photos.smugmug.com/photos/i-dPrW6zW/0/a9a4636e/128x162/i-dPrW6zW-128x162.jpg' class='search-result-poster-thumb' alt='Death of the Author poster' /></a>,10-11 December 2017,Fringe,Death of the Author,show,New Theatre,2017-18
Lucy Chandler/Daniel McVey/Claire Wimbush/Eric Crouch/Arthur Mckechnie/Isabelle Cadwallader/Laura Wolczyk/Jess Donn/Etan Feingold/,Grace Lievesley/Zoe Smith/Adam Frankland/Joe Strickland/Ted Marriott/Francesca Ashby/Beth Wilson/Joe Strickland/Zoe Smith/Darcey Graham/Ben Woodford/Tom Proffitt/Rohanna Brown/Becca Potts/Rosa Morgan/Louis Djalili/,2017-11-22,/years/17_18/dolls_house/,Henrik Ibsen,by Henrik Ibsen,by Henrik Ibsen; Translated by Simon Stephens,<a href='/years/17_18/dolls_house/'><img src='https://photos.smugmug.com/photos/i-ZgQp4JB/0/87d848ea/128x162/i-ZgQp4JB-128x162.jpg' class='search-result-poster-thumb' alt='A Doll's House poster' /></a>,22-25 November 2017,In House,A Doll's House,show,New Theatre,2017-18
Sam Morris/Emma Pallett/Jack Ellis/George Waring/Kate O'Gorman/,Laurence Cuthbert/Josh Mallalieu/Joanne Blunt/Adam Frankland/,2017-09-25,/years/17_18/escape_for_dummies_lakeside/,null,Devised,Devised,<a href='/years/17_18/escape_for_dummies_lakeside/'><img src='https://photos.smugmug.com/photos/i-tTQMHkt/0/0f7162cd/128x162/i-tTQMHkt-128x162.jpg' class='search-result-poster-thumb' alt='Escape for Dummies poster' /></a>,25-26 September 2017,Lakeside,Escape for Dummies,show,Djanogly Theatre,2017-18
Francis Simmons/Lara Cowler/Chloe Richardson/Sophie Curtis/Angharad Davies/Sam Andre-Paul/,Ed Eggleton/Jonathan Taylor Davies/Rohanna Brown/Sam Osborne/Tara Prasad/Jess Donn/,2017-11-27,/years/17_18/five_kinds_of_silence/,Shelagh Stephenson,by Shelagh Stephenson,by Shelagh Stephenson,<a href='/years/17_18/five_kinds_of_silence/'><img src='https://photos.smugmug.com/photos/i-TMHzGKS/0/49bb3a1f/128x162/i-TMHzGKS-128x162.jpg' class='search-result-poster-thumb' alt='Five Kinds of Silence poster' /></a>,27-28 November 2017,Fringe,Five Kinds of Silence,show,New Theatre Studio A,2017-18
Jack Lahiff/Owen Davies/Matthew Thomas/Ronan Sullivan/Alex Piechowski/Dom Bitten/Esther Butterworth/Laura Tapio/Ellie Roberts/Megan Openshaw/Lillian Race/Riana Howarth/Salman Arif/Ellen Dennis/Sasha Minakova/Ewa Rubaszewska/Bethany Bradley/Ophelia Coutts/Cameron Brett/Rosiella Sutherland/Cecilia Shah/Nicola Lang/Alex Wells/Ethan McCrystal/Danni Cooper/Hannah Yates/Nicole Solomon/Yasmine Dankwah/Jazmine Greenaway/Elle Stockley/Beth Carter/Vytatus Valuta/Tara Phillips/Aitor Tejo/Francis Simmons/Alex Levy/Hugo Douglas-Freeman/Aashni Chohan/Dilara Devin/Charlie Basley/Gordon Cullen/Nadia Elafi/Francesca Littler/Eleanor Rickenbach/Holly Shaw/Molly Johnstone/Tszwan Leung/Lucy Chandler/William Tillett/Reilly Salmon/Sabine McGinley/Tom Lantink/Zhen Xin Ong/Olivia Wilson/,Callum Walker/Jack Ellis/Ian Sheard/Joe Strickland/Nat Henderson/Hugo Minta/David Mason/Maddy Strauss/Charlotte Sanders/Michaela Green/Grace Williams/Leah Briars/Isabelle Cadwallader/Emily Wong/Rosie Hudson/Amy Crighton/Rose Edgeworth/Ted Marriott/Kate Maguire/Luke Slater/Ed Eggleton/Maggie Dorling/Emma Summerton/Louis Djalili/Harry Pavlou/Jamie Watt/Emma Pallett/Daniel McVey/Darcey Graham/Tom Proffitt/Emily Sterling/Daniel Morris/Angharad Davies/George Waring/Sam Morris/Matteo Bagaini/Bertie Beeching/Jonathan Taylor Davies/Jamie Drew/Sam Osborne/Hannah Burne/Stuart Ellis/Hannah McCullough/Hayoung Cho/Jakub Kolek/Callum Walker/Amy Crighton/Jack Ellis/,2017-10-09,/years/17_18/freshers_fringe/,null,Various Writers,Various Writers,<a href='/years/17_18/freshers_fringe/'><img src='https://photos.smugmug.com/photos/i-vS3Sk7X/0/19ff5313/128x162/i-vS3Sk7X-128x162.jpg' class='search-result-poster-thumb' alt='Freshers' Fringe poster' /></a>,9-10 October 2017,In House,Freshers' Fringe,show,New Theatre,2017-18
